company_name,director,activity,founders,surname,name,patronymic,workplace,position
"Сельскохорзяйственный потребительский кооператив ""Алтын-Кол-6""",Ибраева Тынара Шаймердиновна,Выращивание зерновых культур (кроме риса и гречихи),"Исаева Нарынкуль Жолочуевна, Ибраев Таласбек Бекбоевич, Ибраев Талантбек Бекбоевич, Буржуев Талайбек Тагаевич, Алжанбаев Таалайбек Жаилканович, Ибраева Тынара Шаймердиновна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Некоммерческий кооператив ""Сельскохозяйственный потребительский кооператив ""Барс-Б""",Орозакунов Омурбек Жумадылович,Выращивание зерновых культур (кроме риса и гречихи),"Замените на физическое лицо 1, Замените на физическое лицо 2, Замените на физическое лицо 3, Замените на физическое лицо 4, Замените на физическое лицо 5, Замените на физическое лицо 6, Замените на физическое лицо 7, Замените на физическое лицо 8, Замените на физическое лицо 9, Замените на физическое лицо 10, Орозакунов Омурбек Жумадылович, Океева Венера Бекбоевна, Батыкеев Токон Иманмолдлоевич и другие",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Биоветмеди""(Biovetmedi)",Аматов Медербек Саитович,Ветеринарная деятельность,"Аматов Медербек Саитович, Маширапов Айтбай Туратбекович, Султангазиев Анвар Бекбоевич, Атабеков Сагынбай Апсаматович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Ar-Dan"" (""Ар-Дан"")",Уралиев Бактыбек Абдраевич,Оптовая торговля шкурами и  кожей,Алиева Айгуль Бекбоевна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Политическая партия ""Чоӊ казат""",Акимов Турат Кудайбергенович,Деятельность политических организаций,"Аманкулов Канат Маратович, Алымкулов Айбек Бекболотович, Аматов Бегиш, Мамытканов Максат Суйуналиевич, Апаитов Акылбек Маданбекович, Мукамбеков Алибек Айбекович, Асаналиев Ганы Бекбоевич, Кожокулова Назгуль Насымкуловна, Абдраимов Азирет Маратович, Акимов Турат Кудайбергенович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Инициатива 15""",Минбаев Сардар Мукашевич,"Деятельность прочих общественных организаций, не включенных в другие группировки","Кудайбергенов Артык Майрамбекович, Минбаев Сардар Мукашевич, Байыш уулу Канатбек, Жоробеков Айдарбек Жолборсович, Молдокадыров Айбек Асыранкулович, Джумаканов Мустафа Бейшенбаевич, Бекбоев Адилет Зарлыкович, Джунушев Улан Шаршеналиевич, Болотбеков Самарбек",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Этна трейд""",Давлетова Асель Каныбековна,"Оптовая торговля молочными продуктами, яйцами, пищевыми маслами и жирами",Керимбеков Замирбек Бекбоевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Бабек Майнинг Компани""",Бекбоев Эмиль Исакович,41.20.0 общее строительство,"Бекбоев Эмиль Исакович, Общество с ограниченной ответственностью ""Фирма ""БАБЕК ЛТД"" ""BABEK LTD""",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Запад-Сервис""",Абасов Бектур Нуржанович,Оптовая неспециализированная торговля,"Бекбоев Замир Исакович, Измаилов Аскар Бекматович, Абасов Бектур Нуржанович, Морозов Павел Александрович, Замените на физическое лицо 1",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественный фонд ""Благотворительный Фонд Русского языка ""Русь и К""",Бегимбетов Улугбек Машариповича,"деятельность прочих общественных организаций, не включенных в другие группировки                 94.99.9",Бекбоев Бакытбек Сагыналиевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""БИК-4""",Бекбоев Болот Джумадилович,Оптовая неспециализированная торговля,Бекбоев Болот Джумадилович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Попечители средней школы имени Д.Иманова""",Сансыбаев Баракан Кайбылдаевич,Деятельность общественных организаций 94.11.0,"Сансыбаев баракан Кайбылдаевич, Айтахунова Рахат Рахимовна, Бекбоева Жамиля Балбаковна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное молодежное объединение ""Маман""",Сатиев Айбек Алымович,деятельность прочих общественных организаций код 94.92.0,"Иманбеков Урмат Бектурович, Асеков Нурбек Тилекович, Бекбоев Кылыч Шейшеевич",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Ак-Ой""",Курманова Нуржамал Кулманбетовна,"Деятельность прочих общественных организаций, не включенных в другие группировки","Курманова Нуржамал Кулманбетовна, Орузбаева Кулум Бекбоевна, Сокеева Мейизган Бейшаалиевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Альфа-Д""",Бекбоев Болот Джумадилович,46.49.0. Оптовая торговля непродовольственными товарами потребительского назначения.,Бекбоев Болот Джумадилович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""САНГАЗИ""",Керимбеков Замирбек Бекбоевич,46.32.0. Оптовая торговля мясом  и мясными продуктами.,"Керимбеков Замирбек Бекбоевич, Керимбеков Медер Замирбекович, Керимбекова Шекер Дамировна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Bek-Tour Group"" (Бек-Тур Групп)",Бекбоев Нурлан Эсенжанович,"прочая деятельность, относящаяся к пассажирким и грузовым перевозкам                63.23.9",Бекбоев Нурлан Эсенжанович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Glori Lord"" ""Глори Лорд""",Молдокулова Нурзада Бекбоевна,Прочая деятельность туристических агентств,"Мендикулова Фатима Джанибековна, Молдокулова Нурзада Бекбоевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью  "" Каганат - Строй""",Бекбоев Замирбек,общее строительство зданий              45.21.1,"Бекбоев Азамат Замирбекович, Искандерова Чинара Казыевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственность ""Башат Эко Прод""",Мусабаев Талайбек Турдумбекович,другие услуги по выращиванию сельскохозяйственной продукции,"Керимбеков Замирбек Бекбоевич, Арбуду Кемаз Арлиевич, Арбуду Севаз Арлиевич, Бронфель Сергей Михалович, Мусабаев Талайбек Турдумбекович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной отчетственностью ""Ак-Тилек""",Бекбоева Асылбубу Эсенамановна,Производство хлеба и мучных кондитерских изделий недлительного хранения,Бекбоева Асыл Эсенамановна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Совместное Кыргызско-Узбекское Общество с ограниченной ответственностью""Слакман-Башат""",Керимбеков Замирбек Бекбоевич,внешняя торговля негосударственных организаций,"Керимбеков Замирбек Бекбоевич, Абилдаев Болот Ералханович, Азизов Салиджан Закирович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"ОсОО СП ""Бак Хай Тех ЛтД."" (ИУ-Израиль) (Кыргызско-Израильское Совместное предприятие ""Бак Хай Тех ЛтД"")",Мецегора Александр Викторович,,"Кнебель (Кнебелис) Гедальяу (Геннадий), Бекбоев Замир Исакович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
Общество с ограниченной ответственностью «Pinta Pub» (Пинта Паб),Бекбоев Бакырдин Замирович,Предоставление прочих услуг ресторанами,"Уваров Анатолий Васильевич, Акенеев Азамат Жумакадырович , Карымшаков Жаныбек Кенешбекович, Бекбоев Бакырдин Замирович ",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Юнимен""",Бекбоев Эмиль Исакович ,Деятельность центральных офисов,Бекбоев Эмиль Исакович ,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Микрокредитная компания ""К2-кредит""",Кадыров Канатбек Тентиевич,Предоставление кредита,"Кадыров Канатбек Тентиевич, Бекбоева Айнура Токтосуновна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
Общество с ограниченной ответственностью «РВД»,Бекбоев Изат Памирбекович,Деятельность агентов по оптовой торговле товарами широкого ассортимента,Бекбоев Изат Памирбекович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Касым Курулуш""",Бекбоев Альберт Туратбекович,Строительство жилых и нежилых зданий,Бекбоев Альберт Туратбекович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация Бочча Кыргызской Республики""",Исаков Бакыт Кубанычбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Исаков Бакыт Кубанычбекович , Бекбоев Саламат Карганбекович , Кушбаков Шахабидин Халбутаевич , Кандаралиева Назгуль Кочкоровна , Адамалиев Лурнист Сартбекович, Жыргалбек уулу Ринат",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""МИДО Групп""",Бекбоев Бектур Замирович,Строительство жилых и нежилых зданий,Бекбоев Бектур Замирович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара стрельбы из лука Кыргызской Республики""",Исаков Бакыт Кубанычбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Исаков Бакыт Кубанычбекович, Бекбоев Саламат Карганбекович, Кушбаков Шахабидин Халбутаевич, Кандаралиева Назгул Кочкоровна, Адамалиев Лурнист Сартбекович, Жыргалбек уулу Ринат ",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара лёгкой алтетики Кыргызской Республики""",Исаков Бакат Кубанычбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Замените на физическое лицо 6, Исаков Бакат Кубанычбекович, Бекбоев Саламат Карганбекович, Кушбаков Шахабидин Халбутаевич, Кандаралиева Назгул Корочоровна, Жыргалбек уулу Ринат, Адамалиев Лурнист Сартбекович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара настольного тенниса Кыргызской Республики""",Исаков Бакыт Кубанычбекович,Деятельность общественных организаций (объединений) в области культуры и рекреации,"Исаков Бакыт Кубанычбекович, Бекбоев Саламат Карганбекович, Кушбаков Шахабидин Халбутаевич, Кандаралиева Назгул Кочкоровна, Адамалиев Лурнист Сартбекович, Жыргалбек уулу Ринат",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара спортивной стрельбы Кыргызской Республики""",Исаков Бакыт Кубанычбекович ,"Деятельность прочих общественных организаций, не включенных в другие группировки","Исаков Бакыт Кубанычбекович, Бекбоев Саламат Карганбекович , Кушбаков Шахабидин Халбутаевич , Кандаралиева Назгул Кочкоровна , Адамалиев Лурнист Сартбекович , Жыргалбек уулу Ринат ",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара пауэрлифтинга Кыргызской Республики""",Исаков Бакыт Кубанычбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Исаков Бакыт Кубанычбекович, Бекбоев Саламат Карганбекович, Кушбаков Шахабидин Халбутаевич, Кандаралиева Назгул Кочкоровна, Адамалиев Лурнист Сартбекович, Жыргалбек уулу Ринат",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Федерация пара танцевального спорта Кыргызской Республики""",Исаков Бакыт Кубанычбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Исаков Бакыт Кубанычбекович, Бекбоев Саламат Карганбекович, Кушбаков Шахабидин Халбутаевич, Кандаралиева Назгул Кочкоровна, Адамалиев Лурнист Сартбекович, Жыргалбек уулу Ринат",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Кыргызские оздоровительные курорты""",Бекбоев Бакырдин Замирович,Деятельность санаторно-курортных учреждений,Бекбоев Бек Эмильевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Албан Кей Джи""",Султангазиева Айнур Бекбоевна,Деятельность в области бухгалтерского учета и аудита,Султангазиева Айнур Бекбоевна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Учреждение ""Академия Труда и Социальных Отношений при Федерации профсоюзов Кыргызстана""",Бекбоев Аскарбек Абдыкадырович,Высшее образование,"Бекбоев Аскарбек Абдыкадырович, ОПО ""Федерация профессиональных союзов Кыргызстана""",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Айбат Групп""",Бекбоева Нуржан Арзыкановна,Деятельность агентов по оптовой торговле товарами широкого ассортимента,Бекбоева Нуржан Арзыкановна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Община ""Данакер""",Алымбеков Кайратбек Алымбекович,"Деятельность общественных организаций (объединений) в области экономического, социального и общинного развития","Алымбеков Кайратбек Алымбекович, Ибраева Эльнура Сагалиевна, Жанузаков Рысбек Кыдыкович, Бектуров Ырыскул Советович, Шакижанова Назира Бекбоевна, Акматова Раушан Дуйшонкуловна, Сариева Асель Бакытбековна, Орозбекова Гульназ Бекешовна, Абдылдаев Медербек Асангулович, Какенова Асылкул Ишенбаевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью Микрокредитная компания ""Береке-Кредит""",Асипова Мадина Ишеналиевна,Предоставление кредита,"Бекбоев Зарлык Шаршеевич, Орозбаева Кулумкан Шаршенбековна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Политическая партия ""Аалам""","Малиев Арсланбек Касымакунович, Джолдошова Жылдызкан Айтибаевна",Деятельность политических организаций,"Шимарова Рузали Ильясовна, Дороев Кубанычбек Асанбекович, Малиев Арсланбек Касымакунович, Султанходжаева Танабар Низамовна, Чекиров Нурлан Калмаматович, Асаналиев Ганы Бекбоевич, Каримов Абдижалил , Кадралиев Тилек Идрисович, Деркенбаев Кыдыкбек Салынбекович, Гримоть Валерий Вальдемарович, Маганбетова Курманжан Токтобековна, Абдрахманова Гульнара Шайлявбековна, Кулманбетов Бейшеке, Кулманбетов Талант Бейшекеевич, Игембердиева Гульбахор Махмудовна, Иманкожоева Эркингуль Бекбачаевна, Иманкожоева Бактыгуль Бекбачаевна, Сагымбаев Туратбек Мыймышевич, Султанов Бакытбек Талантович, Чыпаева Закия Сеиткуловна, Шералиева Жазгул Арыстанбековна, Пастушенко Марат Владимирович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""КТТ Юг""",Кыдыкбеков Максат Кыдыкбекович,Добыча отделочного и строительного камня,Бекбоев Бек Эмильевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""КТТ Север""",Тынчыбек уулу Рыскул,Добыча отделочного и строительного камня,Бекбоев Бек Эмильевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Учреждение ""Материнской школы дошкольной образовательной организации ""Телегей Плюс""",Бекбоева Гульсайра Стамкуловна,Дошкольное образование,Бекбоева Гульсайра Стамкуловна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Политическая партия ""Калыс""",Сапаров Каныбек Сайырбекович,Деятельность политических организаций,"Молдакматов Женишбек Омургазиевич, Сапаров Каныбек Сайырбекович, Бекбоев Норузбек Оттукташович, Сейдинов Адам-Иса, Кадыров Айбек Туратбекович, Сыдыков Миран Таварикович, Шерипбаев Женишбек Кубанычбекович, Курманбаев Улан Зарылбекович, Эргешов Келдибек Саиткулович, Молдобаев Адилет Эрнисович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью Образовательный комплекс ""Креатив-Таалим""",Казакова Назира Желденовна,Начальное образование,"Бекбоев Алтымыш Рысалиевич, Карипова Айганыш Рысбековна, Баймуратов Орозали Бактыярович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Айтамга""",Султангазиев Сергек Анварович,Оптовая неспециализированная торговля,"Акматова Алдей Казатовна, Султангазиева Бактыгуль Бекбоевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Ажо-Барсбек""",Дарбанов Жыргалбек Бекбоевич ,Предоставление услуг по переезду (перемещению),Дарбанов Жыргалбек Бекбоевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Владельцев автостоянки номер семь Асанбая""",Бекбоев Талант Ишеналиевич,"Деятельность прочих общественных организаций, не включенных в другие группировки","Бекбоев Талант Ишеналиевич, Откеев Салморбек Калманбетович, Сулайманов Улан Дюшакунович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Аулот""",Баялиев Айдар Султанбекович,Оптовая неспециализированная торговля,"Баялиев Айдар Султанбеквоич, Бекбоев Нурлан Тельтаевич, Исмаилов Марат Жаанчиевич",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""ДОРУС""",Суеркулова Эльнура Эмильевна,Строительство жилых и нежилых зданий,"Бекбоев Эмиль Исакович, Общество с ограниченной ответственностью ""Фирма ""БАБЕК ЛТД"" (BABEK LTD), Компания Pennen InveCo Limited (Пеннон ИнвеКо Лимитед)",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""АГЕМАНТ""",Бекбоева Эльвира Таштанбековна,Оптовая неспециализированная торговля,Бекбоева Эльвира Таштанбековна,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Silk Roud Cargo""(""Силк Роуд Карго"")",Бекбоев Нурлан Тельтаевич,Розничная торговля автомобилями и легкими автотранспортными средствами,"Бекбоев Нурлан Тельтаевич, Дулатов Жандос Эрикович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""ТОКМАК-ГАЗ""",Бекбоев Тимур Токтосунович,Оптовая неспециализированная торговля,Бекбоев Тимур Токтосунович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Запад Строй""",Бекбоев Нурлан Базаркулович,Строительство жилых и нежилых зданий,Бекбоев Албан Базаркулович ,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью Медициналык Борбору ""БИЗ НУР""",Заиров Турдали Матазимович,Прочая деятельность в области здравоохранения,"Заиров Турдали Матазимович, Бекбоев Бакырдин Замирович, Осмонов Дамирбек Асилбекович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью Издательство ""Бийиктик""",Кадыров Жумадин Сатыбалдиевич,Издание книг,"Кыдыршаева Клара Досматовна, Кадыров Жумадин Сатыбалдиевич, Бекбоева Чолпон Шамшидиновна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Молодежный комитет Жайыл баатыр""",Бейшенбаев Аскатбек Мусуралиевич,"Деятельность прочих общественных организаций, не включенных в другие группировки","Шыгаев Динмухамед Джолдошевич, Курамаев Муса Жанжалбекович, Макишов Бекзат Ишенбекович, Бекбоев Мирбек Каныбекович, Искитов Талантбек Шаршенбекович, Байбагышев Тилек Жекшенбекович, Казаков Баясхан Тенисович, Исманкулов Мунарбек Шаршенбекович, Сарманов Кубан Алымкулович, Осмонбек уулу Кубатбек, Жаналиев Абдухалил Бектурович, Бектурганов Талантбек Асылбекович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Ниет Фирдаус""",Бекбоева Гульмира Алыкеевна,"Прочая деятельность в области образования, не включенная в другие группировки",Бекбоева Гульмира Алыкеевна ,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Эксклюзивные стенды""",Бекбоев Алтынбек Алмухамбетович,Столярные и плотницкие работы,Бекбоев Алтынбек Алмухамбетович,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Крестьянское   хозяйство ""Инсан""",Дубанаев Адилет Садырбекович,Растениеводство в сочетании с животноводством,"Дубанаев Адилет Садырбекович, Чокоева Шаршекан Тентиевна, Бекбоева Джамила Болбаковна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Шабдан Групп""",Шабданов Улан Бекбоевич,Деятельность по обеспечению временной рабочей силой,Шабданов Улан Бекбоевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Азамат Групп""",Бекбоев Азамат Замирбекович,Оптовая неспециализированная торговля,"Бекбоев Азамат Замирбекович, Искандерова Чинара Казыевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Совет ветеранов войны, Воруженных Сил, правохранительных органов и тружеников тыла по городу Бишкек»",Чотбаев Абдыгул Абдырашитович ,"Деятельность прочих общественных организаций, не включенных в другие группировки","Чотбаев Абдыгул Абдрашитович , Молдобаев Тавалдды Кадырович , Бошкоев Джоомарт Бердишалиевич , Асанкулов Рыспай  Идирисович , Молдалиев Сатыбек Калилович , Абдылдаев Саламат Буларович , Бекбоев Мэлс Сагыналиевич , Шванбенланд Сергей Эмильевич",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""TechnoLights KG"" (ТехноЛайт КейДжи)",Бекбоев Калыбек Бекбоевич,Оптовая неспециализированная торговля,Бекбоев Калыбек Бекбоевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
Общество с ограниченной ответственностью «ХимGroup.LTD» (ХимГрупп.ЛТД),Бекбоев Расул Эшибаевич,Оптовая торговля  химическими  продуктами,Бекбоев Расул Эшибаевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Гамма Групп""",Аслан Фахреттин Алп,"Прочее финансовое посредничество, не включенное в другие группировки","Шабдукаримов Данияр Болатбекович, Мурадова Нурия Александровна, Ким Константин Олегович , Аслан Фахреттин Алп , Саитов Руслан Раисович , Бекбоев Джолдошбек Доталиевич ",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
Общество с ограниченной ответственностью «НАУЧНО-ТЕХНИЧЕСКИЙ ЦЕНТР СЕРТИФИКАЦИИ И ЭКСПЕРТИЗ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ ОПАСНЫХ ПРОИЗВОДСТВЕННЫХ ОБЪЕКТОВ»,Хазбулатов Ленур Муждабаевич,Технические испытания и контроль,"Хазбулатов Ленур Муждабаевич, Асаналиев Ганы Бекбоевич, Барсанаев Сагыналы",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""ШОЛИ""",Бекбоев Мирбек Сагыналиевич,Деятельность ресторанов и предоставление мобильных услуг по обеспечению пищей,Бекбоев Мирбек Сагыналиевич,Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью ""Учет-Экспресс KG"" (Кей Джи)",Султангазиева Айнур Бекбоевна,Деятельность в области бухгалтерского учета и аудита,"Ишенкулова Умутбубу Колхозбековна, Султангазиева Айнур Бекбоевна",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общество с ограниченной ответственностью Микрокредитная компания ""Береке-Кредит""",Асипова Мадина Ишеналиевна,Предоставление кредита,"Орозбаева Кулумкан Шаршенбековна, Бекбоев Зарлык Шаршеевич",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
"Общественное объединение ""Молодежный комитет Жайыл баатыр""",Макишов Бекзат Ишенбекович,"Деятельность прочих общественных организаций, не включенных в другие группировки","Шыгаев Динмухамед Джолдошевич, Курамаев Муса Жанжалбекович, Макишов Бекзат Ишенбекович, Бекбоев Мирбек Каныбекович, Искитов Талантбек Шаршенбекович, Байбагышев Тилек Жекшенбекович, Казаков Баясхан Тенисович, Исманкулов Мунарбек Шаршенбекович, Сарманов Кубан Алымкулович, Осмонбек уулу Кубатбек, Жаналиев Абдухалил Бектурович, Бектурганов Талантбек Асылбекович",Бекбоев,Турдуназир,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Министр
Общество с ограниченной ответственностью «Lake Fish» («Лэйк Фиш»),Туманов Кубанычбек Туманович,"Рыболовство в реках, озерах, водохранилищах (Рыболовство пресноводное)","Раимбекова Луиза Абдигапаровна, Джамангулов Дайыр Калимуллаевич, Туманов Кубанычбек Туманович",Туманов,Жаныбай,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Директор Кыргызагробиоцентр
"Общество с ограниченной ответственностью  ""LU-Consulting"" ЭльЮ-Консалтинг""",Ким Александр Владимирович,"Производство прочих основных органических химических веществ, не включенных в другие группировки","Ким Александр Владимирович, Туманов Кубанычбек Туманович",Туманов,Жаныбай,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Директор Кыргызагробиоцентр
"Общество с ограниченной ответственностью ""Нур-Пахта""",Туманов Нурлан Келдибекович,Заготовка и переработка хлопка сырьца,Туманов Нурлан Келдибекович,Туманов,Жаныбай,,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Директор Кыргызагробиоцентр
